,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc
2017-05-01,8.4,3.2,13.6,137.3,14.1,,,La Vallée-de-l'Or
2017-06-01,14.4,8.2,20.6,48.4,,,,La Vallée-de-l'Or
2017-07-01,16.9,9.7,24.0,69.6,11.2,1014.8,,La Vallée-de-l'Or
2017-08-01,14.3,8.4,20.3,182.3,,,,La Vallée-de-l'Or
2017-09-01,14.5,8.5,20.3,40.3,10.8,,,La Vallée-de-l'Or
2017-10-01,8.0,2.5,13.6,99.8,9.0,,,La Vallée-de-l'Or
2017-11-01,-5.5,-9.9,-1.0,26.4,,,,La Vallée-de-l'Or
2017-12-01,-16.1,-20.6,-11.3,40.5,9.0,,,La Vallée-de-l'Or
2018-01-01,-16.1,-21.9,-10.3,45.0,15.2,,,La Vallée-de-l'Or
2018-02-01,-13.2,-20.0,-6.3,29.6,,,,La Vallée-de-l'Or
2018-03-01,-7.7,-12.9,-2.5,21.4,,,,La Vallée-de-l'Or
2018-04-01,-3.5,-9.3,2.3,89.0,,,,La Vallée-de-l'Or
2018-05-01,10.3,2.4,18.1,64.4,14.3,,,La Vallée-de-l'Or
2018-06-01,14.7,7.2,22.1,80.5,,,,La Vallée-de-l'Or
2018-07-01,20.1,13.5,26.8,92.1,,,,La Vallée-de-l'Or
2018-08-01,17.5,11.5,23.5,93.3,,,,La Vallée-de-l'Or
2018-09-01,12.0,6.1,18.0,180.7,,,,La Vallée-de-l'Or
2018-10-01,1.8,-1.3,5.0,151.5,,,,La Vallée-de-l'Or
2018-11-01,-6.3,-9.8,-2.7,59.9,12.4,1016.6,,La Vallée-de-l'Or
2018-12-01,-11.2,-16.1,-6.4,43.4,13.2,1018.4,,La Vallée-de-l'Or
2019-01-01,-19.0,-25.7,-12.4,31.6,,,,La Vallée-de-l'Or
2019-02-01,-10.5,-24.0,-10.0,93.6,8.2,,,La Vallée-de-l'Or
2019-03-01,-9.0,-15.5,-2.4,27.9,,,,La Vallée-de-l'Or
2019-04-01,-0.5,-5.2,4.2,107.0,14.7,1015.5,,La Vallée-de-l'Or
2019-05-01,6.8,1.2,12.5,90.9,12.7,1015.5,,La Vallée-de-l'Or
2019-06-01,14.5,7.7,21.3,134.3,13.1,,,La Vallée-de-l'Or
2019-07-01,19.2,12.0,26.4,48.4,7.1,,,La Vallée-de-l'Or
2019-08-01,16.4,10.4,22.3,82.6,6.8,1013.9,,La Vallée-de-l'Or
2019-09-01,10.8,5.3,16.4,99.4,,,,La Vallée-de-l'Or
2019-10-01,5.6,1.3,10.0,89.8,,,,La Vallée-de-l'Or
2019-11-01,-6.6,-10.3,-3.0,64.3,,,,La Vallée-de-l'Or
2019-12-01,-10.8,-15.7,-5.8,53.8,12.8,,,La Vallée-de-l'Or
2020-01-01,-12.0,-17.5,-6.5,34.7,11.6,1019.8,,La Vallée-de-l'Or
2020-02-01,-12.3,-18.2,-6.5,42.1,14.4,1014.8,,La Vallée-de-l'Or
2020-03-01,-6.7,-14.0,0.6,75.9,,,,La Vallée-de-l'Or
2020-04-01,-0.7,-6.3,5.0,59.8,13.1,1011.6,,La Vallée-de-l'Or
2020-05-01,7.9,1.3,14.5,41.6,12.8,1016.7,,La Vallée-de-l'Or
2020-06-01,15.9,9.5,22.3,89.2,11.0,1012.7,,La Vallée-de-l'Or
2020-07-01,20.3,14.6,26.1,9.1,9.8,,,La Vallée-de-l'Or
2020-08-01,16.3,11.1,21.9,65.6,10.7,1014.2,,La Vallée-de-l'Or
2020-09-01,10.6,5.1,16.1,172.5,12.3,1015.2,,La Vallée-de-l'Or
2020-10-01,1.9,-2.5,6.2,119.7,11.3,1017.1,,La Vallée-de-l'Or
2020-11-01,0.1,-3.7,3.8,45.7,13.8,1015.3,,La Vallée-de-l'Or
2020-12-01,-9.8,-14.2,-5.4,60.1,13.4,1015.5,,La Vallée-de-l'Or
2021-01-01,-11.3,-14.7,-7.9,12.1,10.4,1019.0,,La Vallée-de-l'Or
2021-02-01,-14.0,-20.8,-7.2,13.7,11.3,1020.6,,La Vallée-de-l'Or
2021-03-01,-4.7,-11.8,2.3,42.0,,,,La Vallée-de-l'Or
2021-04-01,4.9,-2.3,12.2,23.5,12.6,1013.6,,La Vallée-de-l'Or
2021-05-01,9.5,2.1,16.8,60.8,11.8,1018.0,,La Vallée-de-l'Or
2021-06-01,16.7,10.4,22.8,105.5,12.2,1011.4,,La Vallée-de-l'Or
2021-07-01,16.7,10.2,23.1,81.1,10.9,1014.9,,La Vallée-de-l'Or
2021-08-01,19.2,13.3,25.2,20.0,10.7,1014.8,,La Vallée-de-l'Or
2021-09-01,11.9,6.9,16.9,128.2,12.7,1013.8,,La Vallée-de-l'Or
2021-10-01,8.6,3.6,13.6,74.7,9.5,1015.6,,La Vallée-de-l'Or
2021-11-01,-2.5,-6.5,1.5,34.4,11.7,1015.0,,La Vallée-de-l'Or
2021-12-01,-10.7,-15.8,-5.5,76.4,12.7,1014.1,,La Vallée-de-l'Or
2022-01-01,-21.5,-28.7,-14.3,33.3,12.7,1020.3,,La Vallée-de-l'Or
2022-02-01,-16.6,-23.9,-9.2,59.2,13.3,1020.9,,La Vallée-de-l'Or
2022-03-01,-7.2,-13.1,-1.4,98.1,,,,La Vallée-de-l'Or
2022-04-01,0.8,-4.5,6.0,49.1,12.8,1015.2,,La Vallée-de-l'Or
2022-05-01,12.2,5.1,19.3,61.4,11.5,1015.4,,La Vallée-de-l'Or
2022-06-01,15.4,9.2,21.6,130.5,12.5,1011.1,,La Vallée-de-l'Or
2022-07-01,17.4,11.3,23.5,124.1,11.0,1010.3,,La Vallée-de-l'Or
2022-08-01,16.9,10.7,23.1,58.6,9.9,1014.8,,La Vallée-de-l'Or
2022-09-01,11.9,6.3,17.5,108.0,10.7,1016.2,,La Vallée-de-l'Or
2022-10-01,6.8,1.6,11.9,70.6,13.0,1014.9,,La Vallée-de-l'Or
2022-11-01,-1.3,-5.5,2.8,85.7,13.5,1015.7,,La Vallée-de-l'Or
2022-12-01,-7.7,-12.0,-4.0,71.9,12.3,1017.3,,La Vallée-de-l'Or
2023-01-01,-11.0,-17.1,-6.0,27.4,11.5,1017.6,,La Vallée-de-l'Or
2023-02-01,-12.6,-19.1,-6.9,55.8,14.6,1015.3,,La Vallée-de-l'Or
2023-03-01,-6.4,-11.8,-0.9,54.4,,,,La Vallée-de-l'Or
2023-04-01,2.6,-2.6,7.8,102.6,14.0,1014.9,,La Vallée-de-l'Or
2023-05-01,10.6,3.6,17.1,63.7,14.6,1018.0,,La Vallée-de-l'Or
2023-06-01,17.6,10.9,23.5,43.4,12.3,1013.5,,La Vallée-de-l'Or
2023-07-01,19.0,13.7,24.1,146.1,10.9,1011.9,,La Vallée-de-l'Or
2023-08-01,15.9,10.9,21.7,133.6,11.8,1013.5,,La Vallée-de-l'Or
2023-09-01,14.4,8.7,20.8,107.8,10.0,1019.6,,La Vallée-de-l'Or
2023-10-01,7.8,4.3,11.6,206.9,14.0,1012.5,,La Vallée-de-l'Or
2023-11-01,-3.7,-7.5,-0.5,90.3,14.1,1015.9,,La Vallée-de-l'Or
2023-12-01,-6.0,-10.3,-2.4,21.0,13.6,1019.3,,La Vallée-de-l'Or
2016-01-01,-8.3,-12.6,-4.6,69.2,9.3,1013.2,,Témiscamingue
2016-02-01,-10.5,-16.2,-4.6,100.0,,,,Témiscamingue
2016-03-01,-2.4,-7.4,2.6,68.1,,,,Témiscamingue
2016-04-01,-3.4,-5.9,3.1,28.2,14.2,,,Témiscamingue
2016-05-01,10.8,3.9,18.9,52.8,12.0,,,Témiscamingue
2016-06-01,16.0,9.6,22.6,62.2,8.3,,,Témiscamingue
2016-07-01,18.1,13.8,24.3,123.9,,,,Témiscamingue
2016-08-01,18.6,13.2,24.1,64.8,10.9,,,Témiscamingue
2016-09-01,15.4,11.3,20.6,78.2,12.0,,,Témiscamingue
2016-10-01,6.0,4.8,10.5,38.8,14.8,1019.3,,Témiscamingue
2016-11-01,3.5,0.4,7.0,58.4,14.6,,,Témiscamingue
2016-12-01,-5.8,-9.1,-2.4,45.9,9.5,1014.7,,Témiscamingue
2017-01-01,-6.2,-9.8,-2.5,47.0,,,,Témiscamingue
2017-02-01,-6.0,-10.8,-1.8,103.7,9.5,,,Témiscamingue
2017-03-01,-6.6,-12.4,-0.8,55.6,,,,Témiscamingue
2017-04-01,1.9,-3.4,7.2,85.9,15.4,1016.9,,Témiscamingue
2017-05-01,9.7,3.9,15.5,92.8,14.1,,,Témiscamingue
2017-06-01,16.0,10.5,21.5,90.9,,,,Témiscamingue
2017-07-01,16.9,13.6,24.0,69.6,11.2,1014.8,,Témiscamingue
2017-08-01,14.3,12.0,20.3,182.3,,,,Témiscamingue
2017-09-01,16.2,10.7,21.7,36.2,10.8,,,Témiscamingue
2017-10-01,10.9,6.4,15.3,69.2,9.0,,,Témiscamingue
2017-11-01,-5.5,-5.0,-1.0,26.4,,,,Témiscamingue
2017-12-01,-11.0,-14.7,-7.5,36.0,9.0,,,Témiscamingue
2018-01-01,-10.7,-15.5,-6.1,66.6,11.7,,,Témiscamingue
2018-02-01,-13.2,-20.0,-6.3,29.6,,,,Témiscamingue
2018-03-01,-7.7,-8.8,-2.5,21.4,,,,Témiscamingue
2018-04-01,-0.4,-5.4,4.9,89.0,,,,Témiscamingue
2018-05-01,11.7,4.0,20.0,74.2,14.3,,,Témiscamingue
2018-06-01,14.7,8.8,22.1,80.5,,,,Témiscamingue
2018-07-01,21.6,14.9,28.3,117.3,,,,Témiscamingue
2018-08-01,17.5,11.5,23.5,93.3,,,,Témiscamingue
2018-09-01,14.9,9.8,20.1,78.2,,,,Témiscamingue
2018-10-01,5.3,1.7,8.8,137.1,,,,Témiscamingue
2018-11-01,-6.3,-9.8,-2.7,59.9,12.4,1016.6,,Témiscamingue
2018-12-01,-6.5,-10.4,-3.3,70.9,9.5,1018.4,,Témiscamingue
2019-01-01,-14.4,-20.6,-8.9,65.7,,,,Témiscamingue
2019-02-01,-10.5,-15.3,-5.3,93.6,8.2,,,Témiscamingue
2019-03-01,-5.3,-10.9,0.2,27.9,,,,Témiscamingue
2019-04-01,2.3,-1.3,6.4,136.2,14.7,1015.5,,Témiscamingue
2019-05-01,8.4,2.6,14.1,111.2,12.7,1015.5,,Témiscamingue
2019-06-01,15.1,9.2,21.6,54.6,7.9,,,Témiscamingue
2019-07-01,20.9,14.8,27.7,48.4,7.1,,,Témiscamingue
2019-08-01,18.2,13.1,23.9,82.6,6.8,1013.9,,Témiscamingue
2019-09-01,13.8,8.5,19.1,99.4,,,,Témiscamingue
2019-10-01,7.7,3.2,12.2,89.8,,,,Témiscamingue
2019-11-01,-6.6,-10.3,-3.0,64.3,,,,Témiscamingue
2019-12-01,-10.8,-15.7,-5.8,53.8,12.8,,,Témiscamingue
2020-01-01,-7.1,-11.3,-3.0,67.6,8.9,1019.8,,Témiscamingue
2020-02-01,-12.3,-18.2,-6.5,42.1,14.4,1014.8,,Témiscamingue
2020-03-01,-1.7,-7.3,3.9,92.8,,,,Témiscamingue
2020-04-01,2.8,-2.9,8.5,70.3,9.0,1011.6,,Témiscamingue
2020-05-01,9.4,2.5,16.4,55.4,8.6,1016.7,,Témiscamingue
2020-06-01,17.0,10.0,23.9,48.6,7.1,1012.7,,Témiscamingue
2020-07-01,20.3,14.6,26.1,9.1,9.8,,,Témiscamingue
