MRC,SECTOR,month_rmse,month_mape
La Nouvelle-Beauce,INSTITUTIONNEL,133887.7830339524,0.05181111093732651
La Nouvelle-Beauce,INDUSTRIEL,660389.857621188,0.047011900780774184
La Nouvelle-Beauce,COMMERCIAL,570888.5662757969,0.05722875281691031
La Nouvelle-Beauce,AGRICOLE,340856.2762637315,0.04878909311649061
L'Islet,RÉSIDENTIEL,975669.373207544,0.07988577682403883
Les Appalaches,INSTITUTIONNEL,221836.20483476587,0.0663280076934981
L'Islet,INSTITUTIONNEL,89989.81860287029,0.07967191806746066
L'Islet,COMMERCIAL,263936.0373320723,0.056059527918719015
L'Islet,AGRICOLE,398645.97366009245,0.09879953710628615
Bellechasse,RÉSIDENTIEL,2475763.0250281338,0.09285709335210744
Bellechasse,INSTITUTIONNEL,203773.3504202712,0.08005309079087156
Bellechasse,INDUSTRIEL,623284.4513828065,0.040913415132909185
Bellechasse,COMMERCIAL,515174.79053056124,0.06052626517663581
Bellechasse,AGRICOLE,431930.7024687031,0.049757899105814914
Beauce-Sartigan,RÉSIDENTIEL,3579156.9506225656,0.09382936849537536
Beauce-Sartigan,INSTITUTIONNEL,248898.3487577169,0.06595445993931097
L'Islet,INDUSTRIEL,475777.0375050922,0.04710610888948192
La Haute-Côte-Nord,RÉSIDENTIEL,710337.7312863893,0.07877530327351824
Les Appalaches,RÉSIDENTIEL,3916084.393023853,0.1121616483027021
Les Etchemins,COMMERCIAL,139367.4509109131,0.03179943158520925
La Haute-Côte-Nord,INDUSTRIEL,200057.8374394819,0.047093423259900576
La Haute-Côte-Nord,COMMERCIAL,5862616.170242327,0.5663626626941997
La Haute-Côte-Nord,AGRICOLE,32126.086273836983,0.2085992533565528
Caniapiscau,RÉSIDENTIEL,405506.8957645004,0.09146150542236382
Caniapiscau,INSTITUTIONNEL,84233.23443155974,0.08918011634391647
Caniapiscau,INDUSTRIEL,16715581.812167622,0.11882675163062068
Caniapiscau,COMMERCIAL,209077.06961714887,0.08657901166610844
Montmagny,RÉSIDENTIEL,1491494.3910444325,0.09211712824486955
Montmagny,INSTITUTIONNEL,170678.81425868784,0.07739979022559636
Les Etchemins,AGRICOLE,162015.07017829793,0.06349222862019464
Montmagny,INDUSTRIEL,259653.6278219761,0.037894007326775066
Montmagny,AGRICOLE,169242.58262120892,0.055393087070796404
Lotbinière,RÉSIDENTIEL,2253007.9623388993,0.08991677454454809
Lotbinière,INSTITUTIONNEL,213877.58580122265,0.12709960048873703
Lotbinière,INDUSTRIEL,551710.8441626196,0.06302228135198377
Lotbinière,COMMERCIAL,557117.7890766158,0.08485941181337915
Lotbinière,AGRICOLE,401746.57923144,0.05735504986004316
Les Etchemins,RÉSIDENTIEL,1155312.6329012325,0.08962923722524078
Les Etchemins,INSTITUTIONNEL,67185.03255352429,0.06293796710222745
Les Etchemins,INDUSTRIEL,160975.92916284874,0.040161589127621654
Montmagny,COMMERCIAL,398321.5711709993,0.0585406951591686
Rouville,RÉSIDENTIEL,2757206.5507812733,0.09720560135476602
La Côte-de-Gaspé,COMMERCIAL,952855.6909118711,0.10818985038215316
