mrc,sector,date,total_kwh,tavg,sector_mrc
La Jacques-Cartier,INSTITUTIONNEL,2016-01-01,9015336.4,-6.9,INSTITUTIONNELLa Jacques-Cartier
La Jacques-Cartier,INDUSTRIEL,2016-01-01,291097.0,-6.9,INDUSTRIELLa Jacques-Cartier
La Jacques-Cartier,COMMERCIAL,2016-01-01,8280358.0,-6.9,COMMERCIALLa Jacques-Cartier
La Jacques-Cartier,AGRICOLE,2016-01-01,562880.0,-6.9,AGRICOLELa Jacques-Cartier
Portneuf,RÉSIDENTIEL,2016-01-01,65435813.0,-6.9,RÉSIDENTIELPortneuf
La Côte-de-Beaupré,RÉSIDENTIEL,2016-01-01,41908005.0,-6.9,RÉSIDENTIELLa Côte-de-Beaupré
Drummond,COMMERCIAL,2016-01-01,32989598.0,-6.9,COMMERCIALDrummond
Drummond,INSTITUTIONNEL,2016-01-01,6551164.0,-6.9,INSTITUTIONNELDrummond
Beauce-Centre,INSTITUTIONNEL,2016-01-01,1581579.0,-6.9,INSTITUTIONNELBeauce-Centre
La Matanie,AGRICOLE,2016-01-01,601906.0,-6.9,AGRICOLELa Matanie
La Matanie,COMMERCIAL,2016-01-01,7776150.0,-6.9,COMMERCIALLa Matanie
La Matanie,INDUSTRIEL,2016-01-01,49483505.49151786,-6.9,INDUSTRIELLa Matanie
La Matanie,INSTITUTIONNEL,2016-01-01,3562840.0,-6.9,INSTITUTIONNELLa Matanie
La Matanie,RÉSIDENTIEL,2016-01-01,25492442.0,-6.9,RÉSIDENTIELLa Matanie
Beauce-Centre,INDUSTRIEL,2016-01-01,7765412.0,-6.9,INDUSTRIELBeauce-Centre
Beauce-Centre,COMMERCIAL,2016-01-01,6278079.0,-6.9,COMMERCIALBeauce-Centre
Beauce-Centre,AGRICOLE,2016-01-01,2593075.0,-6.9,AGRICOLEBeauce-Centre
Drummond,INDUSTRIEL,2016-01-01,27026302.2,-6.9,INDUSTRIELDrummond
Nicolet-Yamaska,RÉSIDENTIEL,2016-01-01,26098552.0,-6.9,RÉSIDENTIELNicolet-Yamaska
Nicolet-Yamaska,INDUSTRIEL,2016-01-01,2228618.0,-6.9,INDUSTRIELNicolet-Yamaska
Nicolet-Yamaska,COMMERCIAL,2016-01-01,6587995.0,-6.9,COMMERCIALNicolet-Yamaska
Nicolet-Yamaska,AGRICOLE,2016-01-01,4687029.0,-6.9,AGRICOLENicolet-Yamaska
L'Érable,RÉSIDENTIEL,2016-01-01,23194526.0,-6.9,RÉSIDENTIELL'Érable
L'Érable,INSTITUTIONNEL,2016-01-01,1839777.0,-6.9,INSTITUTIONNELL'Érable
L'Érable,INDUSTRIEL,2016-01-01,8208213.0,-6.9,INDUSTRIELL'Érable
L'Érable,COMMERCIAL,2016-01-01,7574234.0,-6.9,COMMERCIALL'Érable
L'Érable,AGRICOLE,2016-01-01,4258520.0,-6.9,AGRICOLEL'Érable
Drummond,RÉSIDENTIEL,2016-01-01,113222566.0,-6.9,RÉSIDENTIELDrummond
Nicolet-Yamaska,INSTITUTIONNEL,2016-01-01,3067635.0,-6.9,INSTITUTIONNELNicolet-Yamaska
Beauce-Centre,RÉSIDENTIEL,2016-01-01,18325777.0,-6.9,RÉSIDENTIELBeauce-Centre
La Côte-de-Beaupré,INSTITUTIONNEL,2016-01-01,2228222.0,-6.9,INSTITUTIONNELLa Côte-de-Beaupré
La Côte-de-Beaupré,COMMERCIAL,2016-01-01,10383329.0,-6.9,COMMERCIALLa Côte-de-Beaupré
La Matapédia,INSTITUTIONNEL,2016-01-01,2561814.0,-6.9,INSTITUTIONNELLa Matapédia
La Matapédia,RÉSIDENTIEL,2016-01-01,17699666.0,-6.9,RÉSIDENTIELLa Matapédia
Rivière-du-Loup,RÉSIDENTIEL,2016-01-01,37710030.0,-6.9,RÉSIDENTIELRivière-du-Loup
Rivière-du-Loup,INSTITUTIONNEL,2016-01-01,6225132.0,-6.9,INSTITUTIONNELRivière-du-Loup
Rivière-du-Loup,INDUSTRIEL,2016-01-01,75324537.9,-6.9,INDUSTRIELRivière-du-Loup
Rivière-du-Loup,COMMERCIAL,2016-01-01,13030443.0,-6.9,COMMERCIALRivière-du-Loup
Rivière-du-Loup,AGRICOLE,2016-01-01,1923660.0,-6.9,AGRICOLERivière-du-Loup
Rimouski-Neigette,RÉSIDENTIEL,2016-01-01,65546310.0,-6.9,RÉSIDENTIELRimouski-Neigette
Rimouski-Neigette,INSTITUTIONNEL,2016-01-01,9267694.0,-6.9,INSTITUTIONNELRimouski-Neigette
La Matapédia,INDUSTRIEL,2016-01-01,10479099.1,-6.9,INDUSTRIELLa Matapédia
Rimouski-Neigette,INDUSTRIEL,2016-01-01,2465154.0,-6.9,INDUSTRIELRimouski-Neigette
Rimouski-Neigette,AGRICOLE,2016-01-01,1665721.0,-6.9,AGRICOLERimouski-Neigette
Les Basques,RÉSIDENTIEL,2016-01-01,9517341.0,-6.9,RÉSIDENTIELLes Basques
